Temperature (K),Brightness (watts/m2),Parallax (arcsec),distance ,luminosity,Lum in solar units (J/s)
3414.627975,7.71E-14,0.0100023,4.67E+13,2.74E+28,7.16E+01
3414.519401,7.22E-14,0.00821356,4.99E+13,3.12E+28,8.16E+01
3414.132017,7.39E-14,0.0107242,4.87E+13,2.98E+28,7.79E+01
3413.944989,7.38E-14,0.00825798,4.88E+13,2.99E+28,7.83E+01
3413.695524,7.11E-14,0.0111567,5.06E+13,3.22E+28,8.42E+01
3413.497193,7.53E-14,0.0100076,4.78E+13,2.87E+28,7.51E+01
3413.426097,7.14E-14,0.00973342,5.04E+13,3.19E+28,8.34E+01
3413.388412,7.87E-14,0.00895411,4.57E+13,2.63E+28,6.87E+01
3413.203812,8.29E-14,0.00997484,4.34E+13,2.37E+28,6.19E+01
3413.202942,7.02E-14,0.00967868,5.13E+13,3.30E+28,8.64E+01
3413.05846,5.59E-14,0.0102313,6.44E+13,5.22E+28,1.36E+02
3413.048706,7.54E-14,0.00996143,4.77E+13,2.86E+28,7.48E+01
3412.97379,7.01E-14,0.0101825,5.14E+13,3.31E+28,8.66E+01
3412.972029,7.13E-14,0.00872276,5.05E+13,3.21E+28,8.38E+01
3412.906141,7.34E-14,0.00809602,4.90E+13,3.02E+28,7.90E+01
3412.786028,7.79E-14,0.00972711,4.62E+13,2.69E+28,7.02E+01
3398.856416,1.12E-14,0.0110244,3.21E+14,1.29E+30,3.37E+03
3394.171315,7.11E-14,0.00965753,5.06E+13,3.22E+28,8.42E+01
3394.107008,7.98E-14,0.00970603,4.51E+13,2.56E+28,6.69E+01
3394.093366,7.81E-14,0.0105426,4.61E+13,2.67E+28,6.98E+01
3393.40714,7.07E-14,0.0096693,5.09E+13,3.25E+28,8.50E+01
3393.371413,7.56E-14,0.0093328,4.76E+13,2.85E+28,7.44E+01
3392.078197,7.12E-14,0.00949109,5.06E+13,3.22E+28,8.41E+01
3391.461996,7.64E-14,0.0111432,4.71E+13,2.79E+28,7.29E+01
3388.732702,7.34E-14,0.00917482,4.90E+13,3.02E+28,7.90E+01
3388.730749,6.04E-14,0.0109833,5.96E+13,4.47E+28,1.17E+02
3388.586229,7.33E-14,0.0101624,4.91E+13,3.03E+28,7.93E+01
3388.585332,8.29E-14,0.0103974,4.34E+13,2.37E+28,6.19E+01
3387.433905,6.70E-14,0.0107073,5.37E+13,3.62E+28,9.47E+01
3387.27758,7.42E-14,0.0103479,4.85E+13,2.96E+28,7.73E+01
3386.942656,6.94E-14,0.00936142,5.19E+13,3.38E+28,8.83E+01
3386.750475,5.76E-14,0.0087503,6.25E+13,4.91E+28,1.28E+02
3386.570677,7.43E-14,0.00987308,4.85E+13,2.95E+28,7.71E+01
3386.510632,7.48E-14,0.00962802,4.81E+13,2.91E+28,7.61E+01
